L1 (cm - Flex);L2 (cm - Flex);L3 (cm - Flex);L1 (mm - Vernier);L2 (mm - Vernier);L3 (mm - Vernier);Masa (g)
5;5;5;50.60;50.65;50.15;135.6
5;5;5;50.40;50.35;50.75;
5;5;5;50.30;50.35;50.05;
5;5.1;5;50.35;50.35;50.45;
5;5;5;50.25;50.35;50.05;
5;5;5;50.85;50.15;50.15;
5;5;5.1;50.25;50.15;50.75;
5;5;5;50.75;50.25;50.05;
5;5;5;50.35;50.75;50.45;
5;5;5;50.75;50.15;50.05;
5;5.1;5;50.50;50.55;50.55;
5;5;5.1;50.55;50.85;50.55;
5;5;5;50.45;50.35;50.5;
5;5.1;5;50.75;50.75;50.5;
5;5;5;50.85;50.65;50.45;
